Количество букв в тексте: 273
Буква Д == 41 Частота 15.018315018315018%
Буква В == 25 Частота 9.157509157509157%
Буква Е == 24 Частота 8.791208791208792%
Буква Ы == 22 Частота 8.058608058608058%
Буква Ж == 21 Частота 7.6923076923076925%
Буква Э == 15 Частота 5.4945054945054945%
Буква   == 12 Частота 4.395604395604396%
Буква З == 11 Частота 4.029304029304029%
Буква П == 10 Частота 3.6630036630036633%
Буква М == 9 Частота 3.296703296703297%
Буква Х == 8 Частота 2.93040293040293%
Буква Ф == 7 Частота 2.564102564102564%
Буква Р == 7 Частота 2.564102564102564%
Буква Ш == 7 Частота 2.564102564102564%
Буква Щ == 7 Частота 2.564102564102564%
Буква Н == 7 Частота 2.564102564102564%
Буква Й == 6 Частота 2.197802197802198%
Буква К == 6 Частота 2.197802197802198%
Буква Ц == 6 Частота 2.197802197802198%
Буква У == 4 Частота 1.465201465201465%
Буква Ь == 4 Частота 1.465201465201465%
Буква Ю == 4 Частота 1.465201465201465%
Буква Я == 3 Частота 1.098901098901099%
Буква Т == 2 Частота 0.7326007326007326%
Буква Ч == 1 Частота 0.3663003663003663%
Буква С == 1 Частота 0.3663003663003663%
Буква Л == 1 Частота 0.3663003663003663%
Буква О == 1 Частота 0.3663003663003663%
Буква Г == 1 Частота 0.3663003663003663%
